business_id,phone_number,name,full_address,latitude,longitude,review_count,rating,timezone,website,place_id,place_link,types,price_level,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,city,verified,photos,state,description,emails
0x39eb19006e4fcd21:0xabbe228e8428fc8a,+97715920415,360 Education Solutions (Kumaripati Branch),"360 Education Solutions (Kumaripati Branch), Satdobato Road, Lalitpur 44600, Nepal",27.6719375,85.31643749999999,70,5,Asia/Katmandu,http://www.360education.global/,ChIJIc1PbgAZ6zkRivwohI4ivqs,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb19006e4fcd21:0xabbe228e8428fc8a,"Educational consultant, English language school, Student career counseling office",,7 AM-6 PM,7 AM-6 PM,7 AM-6 PM,7 AM-6 PM,7 AM-6 PM,7 AM-6 PM,Closed,"Lalitpur, Nepal",true,https://lh3.googleusercontent.com/p/AF1QipO6cPNzZJlkLRw2QH44ZtaG4UAzl7nW2XXuhFfm=w203-h114-k-no,Closes soon . 6 PM . Opens 7 AM Thu,,
0x39eb19ce02aa601b:0xd590c518d28eacfe,+97715408798,Megha Educational Consultancy - Best Consultancy in Lalitpur,"Megha Educational Consultancy - Best Consultancy in Lalitpur, Lalitpur 44600, Nepal",27.6709738,85.3200179,116,4.7,Asia/Katmandu,http://www.meghaeducation.com/,ChIJG2CqAs4Z6zkR_qyO0hjFkNU,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb19ce02aa601b:0xd590c518d28eacfe,Educational consultant,,7 AM-6 PM,7 AM-6 PM,7 AM-6 PM,7 AM-6 PM,7 AM-6 PM,7 AM-6 PM,Closed,"Lalitpur, Nepal",true,https://lh3.googleusercontent.com/p/AF1QipOyO-sybv_oJy9aalII3R-zjNnWVzOwUtML_Td2=w203-h196-k-no,Closes soon . 6 PM . Opens 7 AM Thu,,info.meghaeducation@gmail.com
0x39eb194c29b4ce33:0x5323518befe29cd7,,"Professional Education Consultancy Pvt. Ltd, Kumaripati","Professional Education Consultancy Pvt. Ltd, Kumaripati, Lalitpur 44700, Nepal",27.671914299999997,85.3176629,3,4.7,Asia/Katmandu,,ChIJM860KUwZ6zkR15zi74tRI1M,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb194c29b4ce33:0x5323518befe29cd7,"Educational consultant, Career guidance service, Student career counseling office",,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,Closed,"Lalitpur, Nepal",true,https://lh3.googleusercontent.com/p/AF1QipNxMFa_1rQ3A9EDRlAUc9uyRBeqseKuXuF0sIdQ=w203-h326-k-no,Closes soon . 6 PM . Opens 10 AM Thu,,
0x39eb1932388564f5:0x7ce8224ff7db680b,+9779851056429,ESPN Educational Consultancy,"ESPN Educational Consultancy, M8CC+63R Lalitpur Kumaripati 5, Lalitpur 44700, Nepal",27.6705711,85.32023099999999,74,4.9,Asia/Katmandu,http://www.facebook.com/ESPN.Kumaripati,ChIJ9WSFODIZ6zkRC2jb908i6Hw,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb1932388564f5:0x7ce8224ff7db680b,Educational consultant,,6 AM-6 PM,6 AM-6 PM,6 AM-6 PM,6 AM-6 PM,6 AM-6 PM,6 AM-6 PM,9 AM-5 PM,"Lalitpur, Nepal",true,https://lh3.googleusercontent.com/p/AF1QipOmIFuk4mutkGELhLhCLPxXzQaTEIaSiCb6MHQI=w203-h148-k-no,Closes soon . 6 PM . Opens 6 AM Thu,,
0x39eb1948f8f95105:0x660f40758e7943fb,+9779851358329,Expert Education & Visa Services Kumaripati,"M8C9+Q36 Expert Education & Visa Services Kumaripati, Lalitpur 44600, Nepal",27.6718798,85.3176575,103,5,Asia/Katmandu,https://experteducation.com.au/,ChIJBVH5-EgZ6zkR-0N5jnVAD2Y,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb1948f8f95105:0x660f40758e7943fb,Educational consultant,,7:30 AM-5:30 PM,7:30 AM-5:30 PM,7:30 AM-5:30 PM,7:30 AM-5:30 PM,7:30 AM-5:30 PM,7:30 AM-5:30 PM,Closed,"Lalitpur, Nepal",true,https://lh3.googleusercontent.com/p/AF1QipO5K8ggnHp7sxHI-zI57xB2-dnt3h3FjkbMNXQb=w203-h152-k-no,Closes soon . 5:30 PM . Opens 7:30 AM Thu,,
0x39eb19ccdaf8fb15:0xdc75e62ccb6e0ad5,+97715425388,EDU HUB Education Foundation,"EDU HUB Education Foundation, ANTA Complex - 3rd Floor, Lalitpur 44600, Nepal",27.673288499999998,85.31394519999999,28,4.8,Asia/Katmandu,http://www.eduhub.com.np/,ChIJFfv42swZ6zkR1Qpuyyzmddw,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb19ccdaf8fb15:0xdc75e62ccb6e0ad5,Educational consultant,,8 AM-6 PM,8 AM-6 PM,8 AM-6 PM,8 AM-6 PM,8 AM-6 PM,8 AM-6 PM,Closed,"Lalitpur, Nepal",true,https://lh3.googleusercontent.com/p/AF1QipPTIUIz5xJH54MZeE9wijn0_OlfuwZ-QN-UmQFy=w307-h100-k-no,Closes soon . 6 PM . Opens 8 AM Thu,,info@eduhub.com.np
0x39eb19cd2da5cadf:0xbadf07f1d5423fe0,+97715444353,Pradhan International Education Consultants Pvt. Ltd.,"Pradhan International Education Consultants Pvt. Ltd., Lalitpur 44700, Nepal",27.672478899999998,85.3139334,34,5,Asia/Katmandu,http://pdnintl.com/,ChIJ38qlLc0Z6zkR4D9C1fEH37o,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb19cd2da5cadf:0xbadf07f1d5423fe0,"Educational consultant, Visa consulting service",,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,Closed,"Lalitpur, Nepal",true,https://lh3.googleusercontent.com/p/AF1QipNu3INxEBcTBy8CIWQfw3GsHP8grYwKHEQ1Hwe3=w203-h152-k-no,Closes soon . 6 PM . Opens 10 AM Thu,,info@pdnintl.com
0x39eb19493860f83f:0xf2ecaf7fd31d9ee6,+97715442615,KIEC Lalitpur,"KIEC Lalitpur, Hospital Rd, Lalitpur 44700, Nepal",27.6689646,85.3217719,488,5,Asia/Katmandu,https://www.kiec.edu.np/kiec-lalitpur/,ChIJP_hgOEkZ6zkR5p4d03-v7PI,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb19493860f83f:0xf2ecaf7fd31d9ee6,Educational consultant,,9 AM-6 PM,7 AM-6 PM,7 AM-6 PM,7 AM-6 PM,7 AM-6 PM,7 AM-6 PM,Closed,"Lalitpur, Nepal",true,https://lh3.googleusercontent.com/p/AF1QipP4eaz9LbI2hlb5szotQjBn5BFcpHaPpQq4-zbt=w216-h100-k-no,Closes soon . 6 PM . Opens 7 AM Thu,,
0x3e7291c60517deb:0x6fd1670f844c9118,+9779823401311,Global Scholars Educational Consultancy,"Global Scholars Educational Consultancy, Yala Sadak, Lalitpur 44600, Nepal",27.6717698,85.3181996,5,5,Asia/Katmandu,https://globalscholars.co/,ChIJ631RYBwp5wMRGJFMhA9n0W8,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3e7291c60517deb:0x6fd1670f844c9118,"Educational consultant, Student career counseling office",,9 AM-6 PM,9 AM-6 PM,9 AM-6 PM,9 AM-6 PM,9 AM-6 PM,9 AM-6 PM,Closed,"Lalitpur, Nepal",true,https://lh3.googleusercontent.com/p/AF1QipNj9vSi-uhVbsOkhE-BEotcQtJm-6c5Qg6hTDsS=w203-h151-k-no,Closes soon . 6 PM . Opens 9 AM Thu,,
0x39eb1941bacddfcb:0xed80795fa96d3b64,+97715916232,Gurukul Education Foundation,"M8C9+7WQ Gurukul Education Foundation, Lalitpur 44600, Nepal",27.6707029,85.31984969999999,78,5,Asia/Katmandu,https://gurukuleducationfoundation.com/,ChIJy9_NukEZ6zkRZDttqV95gO0,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb1941bacddfcb:0xed80795fa96d3b64,Educational consultant,,6 AM-6 PM,6 AM-6 PM,6 AM-6 PM,6 AM-6 PM,6 AM-6 PM,6 AM-6 PM,Closed,"Lalitpur, Nepal",false,https://lh3.googleusercontent.com/p/AF1QipPcR6mgK2SPvKgF-1eNOWNtVHgQe3-YAtH86GGS=w203-h270-k-no,Closes soon . 6 PM . Opens 6 AM Thu,,
0x39eb191102effaa1:0x9e6c1edbfd593984,+9779802304270,CUBE Education,"CUBE Education, Jawalakhel Machindra Marg, House. 129, Lalitpur 44600, Nepal",27.6737175,85.31585609999999,62,4.9,Asia/Katmandu,http://www.cubegroup.com.np/,ChIJofrvAhEZ6zkRhDlZ_dsebJ4,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb191102effaa1:0x9e6c1edbfd593984,"Educational consultant, Career guidance service, English language school, Student career counseling office, Studying center, University",,9:30 AM-5:30 PM,9:30 AM-5:30 PM,9:03 AM-5:30 PM,9:30 AM-5:30 PM,9:30 AM-5:30 PM,9:30 AM-5 PM,Closed,"Lalitpur, Nepal",true,https://lh3.googleusercontent.com/p/AF1QipOehEX27mTZcYqJqWNAhfDgCyPbvZisHtKyX1U=w203-h152-k-no,Closes soon . 5:30 PM . Opens 9:30 AM Thu,,
0x39eb190983c23a7f:0x5a193259b83d1d22,+97715440534,Wi Education Consultancy Lalitpur,"Wi Education Consultancy Lalitpur, Yapa Bhawan, Lalitpur 44700, Nepal",27.6754104,85.3157624,20,5,Asia/Katmandu,http://wiec.edu.np/,ChIJfzrCgwkZ6zkRIh09uFkyGVo,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb190983c23a7f:0x5a193259b83d1d22,"Educational consultant, Career guidance service, Consultant, Student career counseling office",,7 AM-5 PM,7 AM-5 PM,7 AM-5 PM,7 AM-5 PM,7 AM-5 PM,7 AM-5 PM,Closed,"Lalitpur, Nepal",true,https://lh3.googleusercontent.com/p/AF1QipOQR1P9fVk1O9ZCxsl0Q27GcLEGXw2CI5gEu9bb=w203-h203-k-no,Closed . Opens 7 AM Thu,,"info@wiec.edu.np, wipulchowk@gmail.com"
0x39eb19c5d6850b47:0xa6d07c2ebef01507,+97715437446,AusStudies Lalitpur,"AusStudies Lalitpur, Lalitpur 44700, Nepal",27.670972199999998,85.31895519999999,363,4.9,Asia/Katmandu,https://www.ausstudies.com/,ChIJRwuF1sUZ6zkRBxXwvi580KY,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb19c5d6850b47:0xa6d07c2ebef01507,Educational consultant,,9 AM-6 PM,9 AM-6 PM,9 AM-6 PM,9 AM-6 PM,9 AM-6 PM,9 AM-6 PM,Closed,"Lalitpur, Nepal",true,https://lh3.googleusercontent.com/p/AF1QipPZX0JXKJFL2UoVLsQipMQfsDh-D1m0Gp1Relbr=w203-h152-k-no,Closes soon . 6 PM . Opens 9 AM Thu,,"info@ausstudies.edu.np, mohan@ausstudies.com.au, butwal@ausstudies.edu.np, kabita@ausstudies.edu.np, pokhara@ausstudies.edu.np, b.shrestha@ausstudies.com.au, parramatta@ausstudies.com.au"
0x39eb19d1dc6b3063:0x82b6dd37fd06df19,+97715438377,Nauranga Education Consultancy Center Pvt. Ltd.,"M8CC+848 Nauranga Education Consultancy Center Pvt. Ltd., Satdobato Road, Lalitpur 44600, Nepal",27.6707854,85.3203344,4,3.8,Asia/Katmandu,http://www.naurangaeducation.edu.np/,ChIJYzBr3NEZ6zkRGd8G_TfdtoI,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb19d1dc6b3063:0x82b6dd37fd06df19,Educational consultant,,9:30 AM-6 PM,9:30 AM-6 PM,9:30 AM-6 PM,9:30 AM-6 PM,9:30 AM-6 PM,9:30 AM-6 PM,Closed,"Lalitpur, Nepal",false,https://lh3.googleusercontent.com/gps-proxy/ALd4DhG4hzgxASXwbqp2fd6cZyfk0TzdbPWcx7ES2XexW2RW-WpM1S3tJvllka_EAwgI-2X4vEynw16CFY24s0RtSGaLF2AFc0ibG1NOpo2zVYy74fj0bpnwnHwhpud9Co-DMSZp5sY3qClSIPjTi30Khf6IP6XGokBzG7KIZT5DVL6C6B3Wm-mQmBUBMECmIokkraGWrJo=w203-h152-k-no,Closes soon . 6 PM . Opens 9:30 AM Thu,,
0x39eb19a68e14e6f7:0xf21e44d058fe66a6,+97715900386,Right and Associates Lalitpur,"Right and Associates Lalitpur, Level 2 Samsung, Yala Sadak, Lalitpur 44600, Nepal",27.670973999999998,85.31936209999999,7,5,Asia/Katmandu,https://rassociates.edu.np/,ChIJ9-YUjqYZ6zkRpmb-WNBEHvI,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb19a68e14e6f7:0xf21e44d058fe66a6,Educational consultant,,9 AM-6 PM,9 AM-6 PM,9 AM-6 PM,9 AM-6 PM,9 AM-6 PM,9 AM-6 PM,Closed,"Lalitpur, Nepal",true,,Closes soon . 6 PM . Opens 9 AM Thu,,
0x39eb1987cc7685f9:0x40e6f0fb3bc95898,+97715920463,Goreto Educational Consultancy,"Goreto Educational Consultancy, Kathmandu 44600, Nepal",27.6720474,85.3166868,24,5,Asia/Katmandu,https://goreto.edu.np/get-in-touch/,ChIJ-YV2zIcZ6zkRmFjJO_vw5kA,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb1987cc7685f9:0x40e6f0fb3bc95898,Educational consultant,,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,Closed,"Kathmandu, Nepal",true,https://lh3.googleusercontent.com/p/AF1QipOOp2TStWrXq2zT2ePWTWJMR-WNB-VTaK5DxAoR=w203-h135-k-no,Closes soon . 6 PM . Opens 10 AM Thu,,
0x39eb19d9ecef8ad5:0x88aa6caddbc1b458,+97715408575,DreamNext Education Foundation Pvt . Ltd,"DreamNext Education Foundation Pvt . Ltd, Lalitpur 44600, Nepal",27.6712457,85.3188983,54,4.6,Asia/Katmandu,https://www.dreamnextfoundation.edu.np/,ChIJ1Yrv7NkZ6zkRWLTB261sqog,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb19d9ecef8ad5:0x88aa6caddbc1b458,Educational consultant,,7 AM-6 PM,7 AM-6 PM,7 AM-6 PM,7 AM-6 PM,7 AM-6 PM,7 AM-6 PM,Closed,"Lalitpur, Nepal",true,https://lh3.googleusercontent.com/p/AF1QipNZuRwL4mKLP0QfS4N1FNYAL07RAbemFdOPQkSy=w203-h135-k-no,Closes soon . 6 PM . Opens 7 AM Thu,,
0x39eb1970b117fa91:0x445d4b3e3fb91c9e,+9779746286982,Best Path Education Consultancy,"Best Path Education Consultancy, Shankhamul Marga, Kathmandu 44600, Nepal",27.682447999999997,85.33294269999999,13,5,Asia/Katmandu,https://www.bestpathedu.com/,ChIJkfoXsXAZ6zkRnhy5Pz5LXUQ,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb1970b117fa91:0x445d4b3e3fb91c9e,Educational consultant,,9 AM-6 PM,9 AM-6 PM,9 AM-6 PM,9 AM-6 PM,9 AM-6 PM,9 AM-6 PM,Closed,"Kathmandu, Nepal",true,https://lh3.googleusercontent.com/p/AF1QipN-sYtjNW62RwqWck_Ke2S3LZ2lfxlv7Qod1MPa=w203-h270-k-no,Closes soon . 6 PM . Opens 9 AM Thu,,info@bestpathedu.com
0x39eb1914ab345be9:0x219ad42987bd35b9,+97715151250,Green Pheasant Education Consultancy Pvt. Ltd.,"Green Pheasant Education Consultancy Pvt. Ltd., Lalitpur 44700, Nepal",27.6575375,85.32274129999999,,,Asia/Katmandu,,ChIJ6Vs0qxQZ6zkRuTW9hynUmiE,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb1914ab345be9:0x219ad42987bd35b9,Educational consultant,,7 AM-6 PM,7 AM-6 PM,7 AM-6 PM,7 AM-6 PM,7 AM-6 PM,7 AM-6 PM,Closed,"Lalitpur, Nepal",false,https://lh3.googleusercontent.com/p/AF1QipOIknC7s-9T1ziCGnLAgW_M5CaKBVTaNtIPkW8S=w203-h152-k-no,Closes soon . 6 PM . Opens 7 AM Thu,,
0x39eb19e0000cfd31:0xffcb7e182b6a28d5,+9779841566136,Seishin Education Consultancy,"M8C9+Q2M Seishin Education Consultancy, Lalitpur 44700, Nepal",27.671964,85.3175581,2,5,Asia/Katmandu,,ChIJMf0MAOAZ6zkR1ShqKxh-y_8,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb19e0000cfd31:0xffcb7e182b6a28d5,Educational consultant,,7 AM-6 PM,7 AM-6 PM,7 AM-6 PM,7 AM-6 PM,7 AM-6 PM,7 AM-6 PM,Closed,"Lalitpur, Nepal",false,,Closes soon . 6 PM . Opens 7 AM Thu,,
0x39eb19a84339e461:0x9f0661d90bde2e10,+97714522722,SUPREME EDUCATIONAL CENTRE (CONSULTANCY),"SUPREME EDUCATIONAL CENTRE (CONSULTANCY), Yala Sadak 20, Lalitpur 44700, Nepal",27.6718221,85.31789669999999,7,3.4,Asia/Katmandu,http://www.facebook.com/secintlstudy,ChIJYeQ5Q6gZ6zkREC7eC9lhBp8,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb19a84339e461:0x9f0661d90bde2e10,Educational consultant,,7 AM-5:30 PM,7 AM-5:30 PM,7 AM-5:30 PM,7 AM-5:30 PM,7 AM-5:30 PM,7 AM-5:30 PM,Closed,"Lalitpur, Nepal",true,https://lh3.googleusercontent.com/p/AF1QipMUg1AdWUCttxz1rDNR7CrEICVxIgXfGMOEmvkq=w203-h292-k-no,Closes soon . 5:30 PM . Opens 7 AM Thu,,
0x39eb1905344ef0d1:0xca9bc08c530e2b49,+9779801256231,IES Nepal | India's Education Specialist | Formerly Indian Educational Services,"IES Nepal | India's Education Specialist | Formerly Indian Educational Services, ward 20 2 nd floor above muktinath bikash bank, Laba bhawan kumaripati Lalitpur, Kathmandu 44707, Nepal",27.671825899999998,85.3180491,13,5,Asia/Katmandu,http://www.iesonline.co.in/nepal,ChIJ0fBONAUZ6zkRSSsOU4zAm8o,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb1905344ef0d1:0xca9bc08c530e2b49,"Education center, Consultant, Educational consultant",,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,Closed,"Kathmandu, Nepal",true,https://lh3.googleusercontent.com/p/AF1QipMVxgGxUso0-tqBracNG68pzHs1iqD04Cg25Mlw=w203-h270-k-no,Closes soon . 6 PM . Opens 10 AM Thu,,enquirynp@iesonline.in
0x39eb192675ad4a13:0x3ad9b0e757d15661,+97715526950,Study Portal Education Consultancy,"M89F+572 Study Portal Education Consultancy, Buspark, Lalitpur 44700, Nepal",27.667884299999997,85.3231318,,,Asia/Katmandu,,ChIJE0qtdSYZ6zkRYVbRV-ew2To,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb192675ad4a13:0x3ad9b0e757d15661,Educational consultant,,7 AM-6 PM,7 AM-6 PM,7 AM-6 PM,7 AM-6 PM,7 AM-6 PM,7 AM-6 PM,Closed,"Lalitpur, Nepal",false,https://lh3.googleusercontent.com/p/AF1QipNswySUjS1R_32rIacfmfo_dj5SNgb9RivSiKPU=w203-h217-k-no,Closes soon . 6 PM . Opens 7 AM Thu,,
0x39eb1939bc451da1:0x58305f75d7e6ba91,+9779841032405,Canadian Study Center Kumaripati,"Canadian Study Center Kumaripati, Kumaripati - Mahalaximisthan Rd, Lalitpur 50500, Nepal",27.671558599999997,85.3188364,87,4.9,Asia/Katmandu,https://canadastudycenter.com/,ChIJoR1FvDkZ6zkRkbrm13VfMFg,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb1939bc451da1:0x58305f75d7e6ba91,Educational consultant,,9:30 AM-5:30 PM,9:30 AM-5:30 PM,9:30 AM-5:30 PM,9:30 AM-5:30 PM,9:30 AM-5:30 PM,9:30 AM-5:30 PM,Closed,"Lalitpur, Nepal",true,https://lh3.googleusercontent.com/p/AF1QipPw9gv78D8AOZVBXjc2aQMPn2OL19DVhSh9FDwg=w203-h152-k-no,Closes soon . 5:30 PM . Opens 9:30 AM Thu,,"canadiansc@live.ca, canadiansc@live.caHomeAboutOur"
0x39eb19e08d9e3651:0xed75847168addec9,+97714585643,Big education consultancy,"Big education consultancy, Kathmandu 44600, Nepal",27.6892489,85.3355881,270,4.9,Asia/Katmandu,https://bigeducation.com.np/,ChIJUTaejeAZ6zkRyd6taHGEde0,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb19e08d9e3651:0xed75847168addec9,Educational consultant,,,,,,,,,"Kathmandu, Nepal",false,https://lh3.googleusercontent.com/p/AF1QipN4MaWv7VtCVh7NPT16A3-y209eYYWs6JjW_zAV=w203-h152-k-no,,,
